image_name,scale_bar_px,nm_per_pixel
01-24_03_1g.tif,123,8.1301
01-24_04_1g.tif,298,3.3557
01-24_05_1g.tif,308,3.2468
01-24_06_1g.tif,308,3.2468
01-24_07_1g.tif,300,3.3333
01-24_08_1g.tif,257,3.8911
01-24_09_1g.tif,308,3.2468
01-24_10_1g.tif,293,3.413
01-24_11_1g.tif,245,4.0816
01-24_12_1g.tif,308,3.2468
01-24_13_1g.tif,130,7.6923
01-24_14_1g.tif,306,3.268
01-24_15_1g.tif,186,5.3763
01-24_16_1g.tif,250,4.0
01-24_17_1g.tif,304,3.2895
02-24_03_2g.tif,185,5.4054
02-24_04_1g.tif,221,4.5249
02-24_04_2g.tif,294,3.4014
02-24_05_1g.tif,142,7.0423
02-24_05_2g.tif,308,3.2468
02-24_06_1g.tif,134,7.4627
02-24_06_2g.tif,255,3.9216
02-24_07_1g.tif,274,3.6496
02-24_07_2g.tif,308,3.2468
02-24_08_1g.tif,180,5.5556
02-24_08_2g.tif,305,3.2787
02-24_09_1g.tif,303,3.3003
02-24_09_2g.tif,308,3.2468
02-24_10_1g.tif,304,3.2895
02-24_10_2g.tif,296,3.3784
02-24_11_1g.tif,307,3.2573
02-24_11_2g.tif,308,3.2468
02-24_12_1g.tif,304,3.2895
02-24_12_2g.tif,308,3.2468
02-24_13_1g.tif,123,8.1301
02-24_13_2g.tif,282,3.5461
02-24_14_1g.tif,273,3.663
02-24_14_2g.tif,295,3.3898
02-24_15_1g.tif,303,3.3003
02-24_15_2g.tif,307,3.2573
02-24_16_1g.tif,300,3.3333
02-24_16_2g.tif,202,4.9505
02-24_17_1g.tif,308,3.2468
02-24_17_2g.tif,236,4.2373
03-24_03_1g.tif,188,5.3191
03-24_04_1g.tif,123,8.1301
03-24_05_1g.tif,306,3.268
03-24_06_1g.tif,296,3.3784
03-24_07_1g.tif,123,8.1301
03-24_08_1g.tif,306,3.268
03-24_09_1g.tif,294,3.4014
03-24_10_1g.tif,308,3.2468
03-24_11_1g.tif,123,8.1301
03-24_12_1g.tif,308,3.2468
03-24_13_1g.tif,305,3.2787
03-24_14_1g.tif,305,3.2787
03-24_15_1g.tif,303,3.3003
03-24_16_1g.tif,296,3.3784
03-24_17_1g.tif,301,3.3223
04-23_03_1g.tif,265,3.7736
04-23_03_2g.tif,308,3.2468
04-23_04_1g.tif,303,3.3003
04-23_04_2g.tif,308,3.2468
04-23_05_1g.tif,303,3.3003
04-23_05_2g.tif,302,3.3113
04-23_06_1g.tif,305,3.2787
04-23_06_2g.tif,123,8.1301
04-23_07_1g.tif,166,6.0241
04-23_07_2g.tif,123,8.1301
04-23_08_1g.tif,308,3.2468
04-23_08_2g.tif,307,3.2573
04-23_09_1g.tif,307,3.2573
04-23_09_2g.tif,298,3.3557
04-23_10_1g.tif,305,3.2787
04-23_10_2g.tif,207,4.8309
04-23_11_1g.tif,210,4.7619
04-23_11_2g.tif,308,3.2468
04-23_12_1g.tif,193,5.1813
04-23_12_2g.tif,284,3.5211
04-23_13_1g.tif,299,3.3445
04-23_13_2g.tif,308,3.2468
04-23_14_1g.tif,305,3.2787
04-23_14_2g.tif,123,8.1301
04-23_15_1g.tif,252,3.9683
04-23_15_2g.tif,298,3.3557
04-23_16_1g.tif,154,6.4935
04-23_16_2g.tif,308,3.2468
04-23_17_1g.tif,307,3.2573
04-23_17_2g.tif,305,3.2787
04-23_18_1g.tif,307,3.2573
05-24_03_1g.tif,276,3.6232
05-24_04_1g.tif,269,3.7175
05-24_05_1g.tif,283,3.5336
05-24_06_1g.tif,303,3.3003
05-24_07_1g.tif,298,3.3557
05-24_08_1g.tif,294,3.4014
05-24_09_1g.tif,199,5.0251
05-24_10_1g.tif,308,3.2468
05-24_11_1g.tif,186,5.3763
05-24_12_1g.tif,242,4.1322
05-24_13_1g.tif,297,3.367
05-24_14_1g.tif,294,3.4014
05-24_15_1g.tif,123,8.1301
05-24_16_1g.tif,130,7.6923
05-24_17_1g.tif,136,7.3529
06-24_03_1g.tif,307,3.2573
06-24_04_1g.tif,126,7.9365
06-24_05_1g.tif,123,8.1301
06-24_06_1g.tif,175,5.7143
06-24_07_1g.tif,257,3.8911
06-24_08_1g.tif,302,3.3113
06-24_09_1g.tif,146,6.8493
06-24_10_1g.tif,301,3.3223
06-24_11_1g.tif,308,3.2468
06-24_12_1g.tif,308,3.2468
06-24_13_1g.tif,279,3.5842
06-24_14_1g.tif,290,3.4483
06-24_15_1g.tif,244,4.0984
06-24_16_1g.tif,308,3.2468
06-24_17_1g.tif,296,3.3784
